Time (ps),Pressure (bar)
667.000000,-607.175842

668.000000,1757.116089

669.000000,-869.025818

670.000000,199.394180

671.000000,1143.790894

672.000000,740.756104

673.000000,112.402229

674.000000,-876.800049

675.000000,361.409882

676.000000,-2009.118774

677.000000,-480.480133

678.000000,-546.918457

679.000000,-315.329071

680.000000,469.323456

681.000000,91.404228

682.000000,343.877289

683.000000,-292.224945

684.000000,-382.422943

685.000000,-772.774902

686.000000,483.797516

687.000000,-274.727936

688.000000,38.808552

689.000000,108.406776

690.000000,18.439341

691.000000,471.836578

692.000000,-546.433899

693.000000,307.966309

694.000000,81.562370

695.000000,-196.103455

696.000000,1695.208862

697.000000,-165.721863

698.000000,845.738098

699.000000,1670.026855

700.000000,382.235687

701.000000,-1225.073975

702.000000,-188.367798

703.000000,1361.361572

704.000000,929.857422

705.000000,-1171.059814

706.000000,-437.904053

707.000000,829.302063

708.000000,214.200241

709.000000,247.154663

710.000000,116.365929

711.000000,200.373001

712.000000,962.495117

713.000000,779.932190

714.000000,68.323730

715.000000,187.157303

716.000000,1739.226196

717.000000,129.685150

718.000000,-81.116302

719.000000,-629.262939

720.000000,-269.286469

721.000000,148.918289

722.000000,597.379700

723.000000,-977.691711

724.000000,346.677887

725.000000,-21.478476

726.000000,-759.133606

727.000000,-4.684901

728.000000,-730.316711

729.000000,-2091.960693

730.000000,522.244141

731.000000,-206.604080

732.000000,1185.813232

733.000000,1246.680542

734.000000,-486.121613

735.000000,1401.144165

736.000000,-511.779877

737.000000,-846.951355

738.000000,-365.291473

739.000000,518.029846

740.000000,795.891296

741.000000,-60.948364

742.000000,-735.833435

743.000000,-624.226929

744.000000,-110.049950

745.000000,-973.952393

746.000000,-430.973877

747.000000,124.308777

748.000000,-538.093933

749.000000,1243.873657

750.000000,-959.719421

751.000000,-794.000671

752.000000,-350.960236

753.000000,-1426.796265

754.000000,-315.178986

755.000000,-827.551575

756.000000,-732.379700

757.000000,-108.228027

758.000000,278.769165

759.000000,-1017.060059

760.000000,-57.155060

761.000000,-853.571960

762.000000,-758.042297

763.000000,971.445496

764.000000,817.032959

765.000000,-248.135818

766.000000,-49.512409

767.000000,-1020.083740

768.000000,93.025002

769.000000,-19.533182

770.000000,-652.300110

771.000000,1437.570679

772.000000,-756.026550

773.000000,-84.539551

774.000000,941.747253

775.000000,111.893959

776.000000,227.926514

777.000000,-506.734344

778.000000,311.824707

779.000000,157.286972

780.000000,-703.060852

781.000000,-1472.773804

782.000000,-75.113075

783.000000,-134.260056

784.000000,733.931580

785.000000,260.506622

786.000000,-392.015106

787.000000,-919.124939

788.000000,1370.992798

789.000000,-814.308411

790.000000,465.798828

791.000000,407.513092

792.000000,-1135.721802

793.000000,569.955078

794.000000,52.703632

795.000000,396.130005

796.000000,-752.756897

797.000000,456.651611

798.000000,856.164124

799.000000,-1160.179321

800.000000,557.043091

801.000000,-9.050853

802.000000,225.478104

803.000000,-898.180420

804.000000,380.822723

805.000000,591.555176

806.000000,108.366829

807.000000,1112.791138

808.000000,-1166.305664

809.000000,-17.849192

810.000000,-543.447449

811.000000,-267.581573

812.000000,-718.148743

813.000000,-1795.041138

814.000000,258.751129

815.000000,95.318970

816.000000,-875.553772

817.000000,-290.315857

818.000000,329.722260

819.000000,-1604.463257

820.000000,689.544434

821.000000,110.829338

822.000000,884.700684

823.000000,438.780365

824.000000,996.261414

825.000000,-187.120071

826.000000,-391.474457

827.000000,-1293.083862

828.000000,-488.317291

829.000000,-313.079132

830.000000,-318.198242

831.000000,-841.248596

832.000000,755.586121

833.000000,-683.417725

834.000000,-84.974815

835.000000,-1277.477417

836.000000,621.492676

837.000000,-6.072103

838.000000,-2090.367920

839.000000,97.087242

840.000000,-134.484436

841.000000,-1269.741943

842.000000,8.764038

843.000000,244.947739

844.000000,-672.495117

845.000000,-496.645905

846.000000,172.686768

847.000000,2405.264893

848.000000,1760.429077

849.000000,933.141418

850.000000,-284.918793

851.000000,881.668945

852.000000,72.267250

853.000000,53.235493

854.000000,-686.430908

855.000000,350.550446

856.000000,2031.745728

857.000000,738.234863

858.000000,-7.643961

859.000000,213.746628

860.000000,39.460083

861.000000,-1052.160156

862.000000,195.984085

863.000000,-351.630859

864.000000,728.986816

865.000000,812.387939

866.000000,412.260620

867.000000,-224.749283

868.000000,484.241425

869.000000,0.598389

870.000000,1454.556152

871.000000,-482.614166

872.000000,-731.790222

873.000000,930.868652

874.000000,-1246.496948

875.000000,-922.155457

876.000000,-136.818893

877.000000,1288.292114

878.000000,567.295166

879.000000,175.364395

880.000000,-1044.293091

881.000000,-718.117126

882.000000,677.989258

883.000000,419.737793

884.000000,-261.873352

885.000000,1776.146118

886.000000,1871.797363

887.000000,-179.376419

888.000000,-13.676839

889.000000,-80.317177

890.000000,-597.867371

891.000000,531.799805

892.000000,1004.594482

893.000000,537.652466

894.000000,-270.582916

895.000000,-76.757874

896.000000,-25.716797

897.000000,-616.353577

898.000000,-70.334839

899.000000,-438.120117

900.000000,-304.932281

901.000000,-420.225830

902.000000,-1512.188110

903.000000,1095.321899

904.000000,2169.907227

905.000000,-1058.654419

906.000000,380.473785

907.000000,-1599.682617

908.000000,527.204468

909.000000,-310.595978

910.000000,223.615845

911.000000,956.638855

912.000000,419.332764

913.000000,-1286.370117

914.000000,839.057617

915.000000,-760.744812

916.000000,-1045.597168

917.000000,243.743774

918.000000,-365.754852

919.000000,-466.754486

920.000000,181.734375

921.000000,-450.774445

922.000000,-1020.046143

923.000000,2292.545898

924.000000,-1253.405029

925.000000,-21.601511

926.000000,38.235535

927.000000,-1074.357544

928.000000,259.322449

929.000000,-231.734268

930.000000,-426.585175

931.000000,348.923218

932.000000,-786.466858

933.000000,371.607178

934.000000,232.747314

935.000000,155.114456

936.000000,988.233704

937.000000,-320.446045

938.000000,-1201.781250

939.000000,444.341644

940.000000,-477.949127

941.000000,-172.021042

942.000000,614.416443

943.000000,213.815659

944.000000,-701.848572

945.000000,-457.092407

946.000000,154.809219

947.000000,291.412628

948.000000,500.706177

949.000000,52.179646

950.000000,140.020981

951.000000,-963.695801

952.000000,845.215820

953.000000,650.893494

954.000000,950.570862

955.000000,-1264.819580

956.000000,532.278748

957.000000,707.348450

958.000000,291.282776

959.000000,-71.337868

960.000000,941.739319

961.000000,-284.558441

962.000000,3.888835

963.000000,-1382.430664

964.000000,705.147217

965.000000,41.466480

966.000000,-83.447975

967.000000,1558.961548

968.000000,561.362793

969.000000,599.945129

970.000000,-1581.705933

971.000000,838.085754

972.000000,-332.134094

973.000000,-454.442108

974.000000,-2069.712646

975.000000,1487.512085

976.000000,1152.621826

977.000000,-1212.344238

978.000000,-1133.801392

979.000000,115.451256

980.000000,157.556488

981.000000,-274.284088

982.000000,125.744934

983.000000,-1021.916016

984.000000,95.925255

985.000000,-1227.406738

986.000000,21.178122

987.000000,-460.428802

988.000000,648.927429

989.000000,-104.193939

990.000000,332.384369

991.000000,573.208862

992.000000,514.889832

993.000000,364.799896

994.000000,-1058.777588

995.000000,-216.835938

996.000000,687.634460

997.000000,2143.005859

998.000000,-106.861732

999.000000,-849.381775

1000.000000,-1567.819214

